d_um,eta,penetrating
0.0300,0.92000,0.08000
0.0400,0.91998,0.08002
0.0533,0.91986,0.08014
0.0711,0.91932,0.08068
0.0949,0.91778,0.08222
0.1265,0.91455,0.08545
0.1687,0.90938,0.09062
0.2250,0.90279,0.09721
0.3000,0.89580,0.10420
0.4001,0.89880,0.10120
0.5335,0.91110,0.08890
0.7114,0.91723,0.08277
0.9487,0.91942,0.08058
1.2651,0.91993,0.08007
1.6870,0.92000,0.08000
2.2497,0.92000,0.08000
3.0000,0.92000,0.08000
4.0006,0.92000,0.08000
5.3348,0.92000,0.08000
7.1141,0.92000,0.08000
9.4868,0.92000,0.08000
